player,team,season,position,age,minutes,goals_per90,assists_per90,goal_contributions_per90
Alejandro Garnacho,Chelsea,2526,MF,21.0,1268,0.07,0.28,0.35
Andrey Santos,Chelsea,2526,MF,21.0,1260,0.07,0.0,0.07
Cole Palmer,Chelsea,2526,MF,23.0,1955,0.46,0.05,0.51
Enzo Fernández,Chelsea,2526,MF,24.0,3115,0.29,0.12,0.4
Jorrel Hato,Chelsea,2526,DF,19.0,1148,0.0,0.0,0.0
João Pedro,Chelsea,2526,"FW,MF",23.0,2661,0.51,0.17,0.68
Liam Delap,Chelsea,2526,FW,22.0,1107,0.08,0.0,0.08
Malo Gusto,Chelsea,2526,"DF,MF",22.0,2261,0.08,0.12,0.2
Marc Cucurella,Chelsea,2526,DF,27.0,2707,0.03,0.13,0.17
Moisés Caicedo,Chelsea,2526,MF,23.0,2795,0.1,0.03,0.13
Pedro Neto,Chelsea,2526,"MF,FW",25.0,2631,0.17,0.21,0.38
Reece James,Chelsea,2526,"DF,MF",25.0,1963,0.09,0.18,0.28
Robert Sánchez,Chelsea,2526,GK,27.0,3039,0.0,0.03,0.03
Trevoh Chalobah,Chelsea,2526,DF,26.0,2783,0.1,0.0,0.1
Wesley Fofana,Chelsea,2526,DF,24.0,1722,0.0,0.05,0.05
Adam Wharton,Crystal Palace,2526,MF,21.0,2552,0.04,0.18,0.21
Brennan Johnson,Crystal Palace,2526,"MF,FW",24.0,1112,0.0,0.08,0.08
Chris Richards,Crystal Palace,2526,DF,25.0,2827,0.03,0.0,0.03
Daichi Kamada,Crystal Palace,2526,MF,28.0,1902,0.0,0.0,0.0
Daniel Muñoz,Crystal Palace,2526,MF,29.0,2399,0.15,0.11,0.26
Dean Henderson,Crystal Palace,2526,GK,28.0,3330,0.0,0.0,0.0
Ismaila Sarr,Crystal Palace,2526,MF,27.0,2174,0.37,0.04,0.41
Jaydee Canvot,Crystal Palace,2526,DF,19.0,1336,0.0,0.0,0.0
Jean-Philippe Mateta,Crystal Palace,2526,FW,28.0,2218,0.49,0.0,0.49
Jefferson Lerma,Crystal Palace,2526,"MF,DF",30.0,1733,0.0,0.1,0.1
Jørgen Strand Larsen,Crystal Palace,2526,FW,25.0,903,0.3,0.0,0.3
Marc Guéhi,Crystal Palace,2526,DF,25.0,1800,0.1,0.1,0.2
Maxence Lacroix,Crystal Palace,2526,DF,25.0,3085,0.03,0.06,0.09
Tyrick Mitchell,Crystal Palace,2526,MF,25.0,3251,0.03,0.06,0.08
Will Hughes,Crystal Palace,2526,MF,30.0,1571,0.0,0.0,0.0
Yéremy Pino,Crystal Palace,2526,"MF,FW",22.0,2080,0.09,0.09,0.17
Beto,Everton,2526,FW,27.0,1568,0.52,0.06,0.57
Dwight McNeil,Everton,2526,MF,25.0,1168,0.0,0.08,0.08
Idrissa Gueye,Everton,2526,MF,35.0,2093,0.09,0.13,0.22
Iliman Ndiaye,Everton,2526,MF,25.0,2778,0.19,0.1,0.29
Jack Grealish,Everton,2526,MF,29.0,1627,0.11,0.33,0.44
Jake O'Brien,Everton,2526,DF,24.0,3120,0.03,0.03,0.06
James Garner,Everton,2526,"MF,DF",24.0,3413,0.05,0.18,0.24
James Tarkowski,Everton,2526,DF,32.0,3330,0.05,0.08,0.14
Jordan Pickford,Everton,2526,GK,31.0,3420,0.0,0.0,0.0
Kiernan Dewsbury-Hall,Everton,2526,MF,26.0,2626,0.27,0.14,0.41
Michael Keane,Everton,2526,DF,32.0,2591,0.1,0.03,0.14
Thierno Barry,Everton,2526,FW,22.0,1914,0.38,0.0,0.38
Tim Iroegbunam,Everton,2526,MF,22.0,1487,0.0,0.12,0.12
Vitaliy Mykolenko,Everton,2526,DF,26.0,2958,0.0,0.03,0.03
Alex Iwobi,Fulham,2526,MF,29.0,2419,0.15,0.11,0.26
Antonee Robinson,Fulham,2526,"DF,MF",27.0,1492,0.06,0.0,0.06
Bernd Leno,Fulham,2526,GK,33.0,3420,0.0,0.0,0.0
Calvin Bassey,Fulham,2526,DF,25.0,2534,0.04,0.0,0.04
Emile Smith Rowe,Fulham,2526,MF,25.0,1923,0.14,0.0,0.14
Harry Wilson,Fulham,2526,MF,28.0,2673,0.34,0.24,0.57
Joachim Andersen,Fulham,2526,DF,29.0,2875,0.0,0.03,0.03
Jorge Cuenca,Fulham,2526,DF,25.0,938,0.0,0.0,0.0
Joshua King,Fulham,2526,MF,18.0,1308,0.07,0.14,0.21
Kenny Tete,Fulham,2526,DF,29.0,1791,0.05,0.0,0.05
Kevin,Fulham,2526,MF,22.0,1041,0.09,0.09,0.17
Raúl Jiménez,Fulham,2526,FW,34.0,2189,0.37,0.12,0.49
Rodrigo Muniz,Fulham,2526,FW,24.0,1000,0.09,0.09,0.18
Ryan Sessegnon,Fulham,2526,"DF,MF",25.0,1823,0.15,0.05,0.2
Samuel Chukwueze,Fulham,2526,MF,26.0,1079,0.25,0.33,0.58
Sander Berge,Fulham,2526,MF,27.0,2905,0.0,0.03,0.03
Saša Lukić,Fulham,2526,MF,28.0,1734,0.05,0.1,0.16
Timothy Castagne,Fulham,2526,"DF,MF",29.0,1845,0.0,0.0,0.0
Anton Stach,Leeds United,2526,MF,26.0,2370,0.19,0.11,0.3
Ao Tanaka,Leeds United,2526,MF,26.0,1315,0.14,0.0,0.14
Brenden Aaronson,Leeds United,2526,"MF,FW",24.0,2449,0.15,0.18,0.33
Dominic Calvert-Lewin,Leeds United,2526,FW,28.0,2721,0.46,0.03,0.5
Ethan Ampadu,Leeds United,2526,MF,24.0,3119,0.03,0.03,0.06
Gabriel Gudmundsson,Leeds United,2526,"DF,MF",26.0,2631,0.0,0.0,0.0
Ilia Gruev,Leeds United,2526,MF,25.0,1323,0.0,0.2,0.2
Jaka Bijol,Leeds United,2526,DF,26.0,1890,0.05,0.1,0.14
James Justin,Leeds United,2526,"DF,MF",27.0,1901,0.09,0.05,0.14
Jayden Bogle,Leeds United,2526,"MF,DF",25.0,2793,0.03,0.06,0.1
Joe Rodon,Leeds United,2526,DF,27.0,2951,0.06,0.0,0.06
Karl Darlow,Leeds United,2526,GK,34.0,1980,0.0,0.0,0.0
Lucas Perri,Leeds United,2526,GK,27.0,1440,0.0,0.0,0.0
Lukas Nmecha,Leeds United,2526,FW,26.0,1083,0.5,0.08,0.58
Noah Okafor,Leeds United,2526,"FW,MF",25.0,1561,0.46,0.06,0.52
Pascal Struijk,Leeds United,2526,DF,25.0,2936,0.0,0.03,0.03
Sean Longstaff,Leeds United,2526,MF,27.0,1011,0.18,0.18,0.36
Alexis Mac Allister,Liverpool,2526,MF,26.0,2658,0.07,0.14,0.2
Alisson,Liverpool,2526,GK,32.0,2340,0.0,0.0,0.0
Andy Robertson,Liverpool,2526,DF,31.0,1176,0.08,0.0,0.08
Cody Gakpo,Liverpool,2526,"MF,FW",26.0,2737,0.23,0.16,0.39
Conor Bradley,Liverpool,2526,DF,22.0,929,0.0,0.1,0.1
Curtis Jones,Liverpool,2526,"MF,DF",24.0,1937,0.05,0.09,0.14
Dominik Szoboszlai,Liverpool,2526,"MF,DF",24.0,3231,0.17,0.19,0.36
Florian Wirtz,Liverpool,2526,MF,22.0,2378,0.19,0.11,0.3
Hugo Ekitike,Liverpool,2526,FW,23.0,1803,0.55,0.2,0.75
Ibrahima Konaté,Liverpool,2526,DF,26.0,3090,0.03,0.0,0.03
Jeremie Frimpong,Liverpool,2526,"DF,MF",24.0,1040,0.0,0.09,0.09
Milos Kerkez,Liverpool,2526,DF,21.0,2257,0.08,0.04,0.12
Mohamed Salah,Liverpool,2526,MF,33.0,2146,0.29,0.29,0.59
Ryan Gravenberch,Liverpool,2526,MF,23.0,2992,0.15,0.09,0.24
Virgil van Dijk,Liverpool,2526,DF,34.0,3420,0.16,0.0,0.16
Abdukodir Khusanov,Manchester City,2526,DF,21.0,1432,0.0,0.0,0.0
Antoine Semenyo,Manchester City,2526,"MF,FW",25.0,1397,0.45,0.06,0.52
Bernardo Silva,Manchester City,2526,MF,30.0,2872,0.06,0.13,0.19
Erling Haaland,Manchester City,2526,FW,25.0,2953,0.82,0.24,1.07
Gianluigi Donnarumma,Manchester City,2526,GK,26.0,3060,0.0,0.0,0.0
Jeremy Doku,Manchester City,2526,"MF,FW",23.0,1784,0.25,0.25,0.5
Joško Gvardiol,Manchester City,2526,DF,23.0,1372,0.13,0.13,0.26
Marc Guéhi,Manchester City,2526,DF,25.0,1350,0.07,0.07,0.13
Matheus Nunes,Manchester City,2526,DF,26.0,2862,0.03,0.16,0.19
Nico O'Reilly,Manchester City,2526,"DF,MF",20.0,2646,0.17,0.1,0.27
Nicolás González,Manchester City,2526,MF,23.0,1569,0.06,0.0,0.06
Phil Foden,Manchester City,2526,MF,25.0,2086,0.3,0.22,0.52
Rayan Aït-Nouri,Manchester City,2526,DF,24.0,974,0.0,0.18,0.18
Rayan Cherki,Manchester City,2526,MF,21.0,1786,0.2,0.6,0.81
Rodri,Manchester City,2526,MF,29.0,1511,0.06,0.0,0.06
Rúben Dias,Manchester City,2526,DF,28.0,2141,0.08,0.0,0.08
Tijjani Reijnders,Manchester City,2526,MF,27.0,1631,0.28,0.11,0.39
Amad Diallo,Manchester Utd,2526,MF,23.0,2341,0.08,0.12,0.19
Ayden Heaven,Manchester Utd,2526,DF,18.0,924,0.0,0.1,0.1
Benjamin Šeško,Manchester Utd,2526,FW,22.0,1643,0.6,0.05,0.66
Bruno Fernandes,Manchester Utd,2526,MF,30.0,3063,0.26,0.62,0.88
Bryan Mbeumo,Manchester Utd,2526,"MF,FW",25.0,2609,0.38,0.1,0.48
Casemiro,Manchester Utd,2526,MF,33.0,2571,0.32,0.07,0.39
Diogo Dalot,Manchester Utd,2526,"DF,MF",26.0,2614,0.03,0.1,0.14
Harry Maguire,Manchester Utd,2526,DF,32.0,1653,0.05,0.11,0.16
Kobbie Mainoo,Manchester Utd,2526,MF,20.0,1662,0.05,0.11,0.16
Leny Yoro,Manchester Utd,2526,DF,19.0,1740,0.0,0.0,0.0
Lisandro Martínez,Manchester Utd,2526,DF,27.0,1233,0.0,0.0,0.0
Luke Shaw,Manchester Utd,2526,DF,30.0,3219,0.03,0.03,0.06
Mason Mount,Manchester Utd,2526,MF,26.0,1017,0.27,0.0,0.27
Matheus Cunha,Manchester Utd,2526,"MF,FW",26.0,2494,0.36,0.07,0.43
Matthijs de Ligt,Manchester Utd,2526,DF,25.0,1170,0.08,0.0,0.08
Noussair Mazraoui,Manchester Utd,2526,"DF,MF",27.0,985,0.0,0.0,0.0
Patrick Dorgu,Manchester Utd,2526,MF,20.0,1449,0.25,0.25,0.5
Senne Lammens,Manchester Utd,2526,GK,23.0,2880,0.0,0.0,0.0
Aaron Ramsdale,Newcastle,2526,GK,27.0,1004,0.0,0.0,0.0
Anthony Elanga,Newcastle,2526,"FW,MF",23.0,1319,0.0,0.07,0.07
Anthony Gordon,Newcastle,2526,FW,24.0,1795,0.3,0.1,0.4
Bruno Guimarães,Newcastle,2526,MF,27.0,2453,0.33,0.18,0.51
Dan Burn,Newcastle,2526,DF,33.0,2199,0.04,0.08,0.12
Fabian Schär,Newcastle,2526,DF,33.0,1091,0.0,0.0,0.0
Harvey Barnes,Newcastle,2526,"FW,MF",27.0,1966,0.32,0.05,0.37
Jacob Murphy,Newcastle,2526,"FW,MF",30.0,1617,0.17,0.11,0.28
Jacob Ramsey,Newcastle,2526,MF,24.0,1450,0.12,0.19,0.31
Joe Willock,Newcastle,2526,MF,25.0,983,0.0,0.18,0.18
Joelinton,Newcastle,2526,MF,28.0,1951,0.09,0.05,0.14
Kieran Trippier,Newcastle,2526,DF,34.0,1586,0.0,0.06,0.06
Lewis Hall,Newcastle,2526,DF,20.0,2181,0.04,0.04,0.08
Lewis Miley,Newcastle,2526,"MF,DF",19.0,1496,0.06,0.24,0.3
Malick Thiaw,Newcastle,2526,DF,23.0,2965,0.12,0.0,0.12
Nick Pope,Newcastle,2526,GK,33.0,2416,0.0,0.0,0.0
Nick Woltemade,Newcastle,2526,"FW,MF",23.0,1902,0.38,0.14,0.52
Sandro Tonali,Newcastle,2526,MF,25.0,2534,0.0,0.07,0.07
Sven Botman,Newcastle,2526,DF,25.0,1835,0.05,0.05,0.1
Tino Livramento,Newcastle,2526,DF,22.0,1328,0.0,0.07,0.07
Callum Hudson-Odoi,Nottingham,2526,MF,24.0,1841,0.15,0.2,0.34
Chris Wood,Nottingham,2526,FW,33.0,901,0.3,0.0,0.3
Dan Ndoye,Nottingham,2526,MF,24.0,1173,0.08,0.08,0.15
Elliot Anderson,Nottingham,2526,MF,22.0,3331,0.11,0.11,0.22
Ibrahim Sangaré,Nottingham,2526,MF,27.0,2075,0.09,0.09,0.17
Igor Jesus,Nottingham,2526,FW,24.0,2298,0.23,0.16,0.39
Matz Sels,Nottingham,2526,GK,33.0,2668,0.0,0.0,0.0
Morato,Nottingham,2526,DF,24.0,1345,0.07,0.0,0.07
Morgan Gibbs-White,Nottingham,2526,MF,25.0,3097,0.44,0.12,0.55
Murillo,Nottingham,2526,DF,23.0,2130,0.04,0.0,0.04
Neco Williams,Nottingham,2526,DF,24.0,3204,0.06,0.08,0.14
Nicolás Domínguez,Nottingham,2526,MF,27.0,1175,0.08,0.08,0.15
Nicolò Savona,Nottingham,2526,DF,22.0,1028,0.18,0.0,0.18
Nikola Milenković,Nottingham,2526,DF,27.0,3375,0.0,0.0,0.0
Ola Aina,Nottingham,2526,DF,28.0,1588,0.0,0.0,0.0
Omari Hutchinson,Nottingham,2526,MF,21.0,1688,0.05,0.27,0.32
Brian Brobbey,Sunderland,2526,FW,23.0,1927,0.33,0.05,0.37
Chemsdine Talbi,Sunderland,2526,"MF,FW",20.0,1561,0.23,0.06,0.29
Daniel Ballard,Sunderland,2526,DF,25.0,2149,0.08,0.0,0.08
Enzo Le Fée,Sunderland,2526,"MF,FW",25.0,2930,0.15,0.18,0.34
Granit Xhaka,Sunderland,2526,MF,32.0,2904,0.03,0.19,0.22
Habib Diarra,Sunderland,2526,MF,21.0,1405,0.13,0.13,0.26
Lutsharel Geertruida,Sunderland,2526,"DF,MF",25.0,1693,0.0,0.0,0.0
Noah Sadiki,Sunderland,2526,MF,20.0,2889,0.0,0.03,0.03
Nordi Mukiele,Sunderland,2526,DF,27.0,2784,0.1,0.1,0.19
Omar Alderete,Sunderland,2526,DF,28.0,2798,0.03,0.03,0.06
Reinildo Mandava,Sunderland,2526,DF,31.0,1966,0.0,0.05,0.05
Robin Roefs,Sunderland,2526,GK,22.0,3150,0.0,0.0,0.0
Trai Hume,Sunderland,2526,"DF,MF",23.0,3036,0.06,0.03,0.09
Wilson Isidor,Sunderland,2526,FW,24.0,1165,0.46,0.0,0.46
Archie Gray,Tottenham,2526,"MF,DF",19.0,1478,0.12,0.12,0.24
Conor Gallagher,Tottenham,2526,MF,25.0,1184,0.08,0.08,0.15
Cristian Romero,Tottenham,2526,DF,27.0,1868,0.19,0.05,0.24
Destiny Udogie,Tottenham,2526,"DF,MF",22.0,1338,0.0,0.07,0.07
Djed Spence,Tottenham,2526,"DF,MF",24.0,2056,0.0,0.0,0.0
Dominic Solanke,Tottenham,2526,FW,27.0,1001,0.27,0.0,0.27
Guglielmo Vicario,Tottenham,2526,GK,28.0,2790,0.0,0.0,0.0
João Palhinha,Tottenham,2526,MF,30.0,2198,0.2,0.08,0.29
Kevin Danso,Tottenham,2526,DF,26.0,1494,0.0,0.0,0.0
Lucas Bergvall,Tottenham,2526,MF,19.0,965,0.09,0.28,0.37
Mathys Tel,Tottenham,2526,"MF,FW",20.0,1349,0.27,0.07,0.33
Micky van de Ven,Tottenham,2526,DF,24.0,3041,0.12,0.03,0.15
Mohammed Kudus,Tottenham,2526,"MF,FW",24.0,1535,0.12,0.29,0.41
Pape Matar Sarr,Tottenham,2526,MF,22.0,1398,0.13,0.26,0.39
Pedro Porro,Tottenham,2526,DF,25.0,2796,0.03,0.06,0.1
Randal Kolo Muani,Tottenham,2526,"FW,MF",26.0,1664,0.05,0.05,0.11
Richarlison,Tottenham,2526,"FW,MF",28.0,1964,0.5,0.18,0.69
Rodrigo Bentancur,Tottenham,2526,MF,28.0,1883,0.05,0.05,0.1
Wilson Odobert,Tottenham,2526,"MF,FW",20.0,985,0.0,0.18,0.18
Xavi Simons,Tottenham,2526,"MF,FW",22.0,1755,0.1,0.26,0.36
Aaron Wan-Bissaka,West Ham,2526,"DF,MF",27.0,2081,0.0,0.09,0.09
Alphonse Areola,West Ham,2526,GK,32.0,1800,0.0,0.05,0.05
Axel Disasi,West Ham,2526,DF,27.0,1254,0.0,0.0,0.0
Callum Wilson,West Ham,2526,FW,33.0,1251,0.5,0.07,0.58
Crysencio Summerville,West Ham,2526,"MF,FW",23.0,2470,0.18,0.07,0.26
El Hadji Malick Diouf,West Ham,2526,"DF,MF",20.0,2707,0.0,0.17,0.17
Freddie Potts,West Ham,2526,MF,21.0,1171,0.0,0.08,0.08
Jarrod Bowen,West Ham,2526,"MF,FW",28.0,3403,0.24,0.29,0.53
Jean-Clair Todibo,West Ham,2526,DF,25.0,1814,0.0,0.05,0.05
Konstantinos Mavropanos,West Ham,2526,DF,27.0,2534,0.11,0.0,0.11
Kyle Walker-Peters,West Ham,2526,DF,28.0,1383,0.07,0.0,0.07
Lucas Paquetá,West Ham,2526,"MF,FW",27.0,1511,0.24,0.06,0.3
Mads Hermansen,West Ham,2526,GK,25.0,1620,0.0,0.06,0.06
Mateus Fernandes,West Ham,2526,MF,21.0,3016,0.09,0.12,0.21
Max Kilman,West Ham,2526,DF,28.0,1561,0.0,0.0,0.0
Soungoutou Magassa,West Ham,2526,MF,21.0,981,0.09,0.0,0.09
Tomáš Souček,West Ham,2526,MF,30.0,2200,0.2,0.0,0.2
Valentín Castellanos,West Ham,2526,FW,26.0,1384,0.39,0.0,0.39
Adam Armstrong,Wolves,2526,"FW,MF",28.0,1140,0.16,0.16,0.32
André,Wolves,2526,MF,24.0,2762,0.03,0.0,0.03
David Møller Wolfe,Wolves,2526,"MF,DF",23.0,1049,0.0,0.17,0.17
Emmanuel Agbadou,Wolves,2526,DF,28.0,1101,0.0,0.0,0.0
Hugo Bueno,Wolves,2526,"MF,DF",22.0,2366,0.04,0.08,0.11
Hwang Hee-chan,Wolves,2526,"FW,MF",29.0,1446,0.12,0.12,0.25
Jackson Tchatchoua,Wolves,2526,"MF,DF",23.0,1845,0.0,0.05,0.05
Jean-Ricner Bellegarde,Wolves,2526,"MF,FW",27.0,1248,0.07,0.07,0.14
Jhon Arias,Wolves,2526,"FW,MF",27.0,1124,0.08,0.0,0.08
José Sá,Wolves,2526,GK,32.0,2070,0.0,0.0,0.0
João Gomes,Wolves,2526,MF,24.0,2829,0.03,0.03,0.06
Jørgen Strand Larsen,Wolves,2526,FW,25.0,1404,0.06,0.06,0.13
Ladislav Krejčí,Wolves,2526,"DF,MF",26.0,2356,0.08,0.04,0.11
Mateus Mane,Wolves,2526,MF,17.0,1795,0.15,0.05,0.2
Rodrigo Gomes,Wolves,2526,"MF,FW",22.0,960,0.28,0.0,0.28
Sam Johnstone,Wolves,2526,GK,32.0,1080,0.0,0.0,0.0
Santiago Bueno,Wolves,2526,DF,26.0,2553,0.11,0.04,0.14
Tolu Arokodare,Wolves,2526,FW,24.0,1419,0.19,0.06,0.25
Toti Gomes,Wolves,2526,DF,26.0,1424,0.0,0.0,0.0
Yerson Mosquera,Wolves,2526,DF,24.0,2136,0.0,0.0,0.0
